time;x;y;z;roll;pitch;yaw
38.388;0.737663527164901;0.6429285091810275;2.6902023122623078;0.24919425296153624;0.23124235917364463;-0.3210032540411056
38.389;0.7378051094925052;0.6430200773768023;2.6902435404598948;0.24919613588269424;0.2312442825256071;-0.32100559858250727
38.392;0.7378523036017497;0.6430506001087775;2.6902572831924583;0.24919676352305611;0.23124492364373792;-0.3210063800951081
38.42;0.7378994977110156;0.6430811228407778;2.6902710259250386;0.249197391163406;0.23124556476227373;-0.321007161607109
38.426;0.7385130211324427;0.6434779183583723;2.6904496814511543;0.24920555041546516;0.231253899352773;-0.32101732126181315
38.44;0.7386074093513162;0.6435389638229027;2.6904771669171006;0.24920680567541756;0.2312551816052119;-0.3210188842836416
38.448;0.7392681268858382;0.6439662820774302;2.690669565180644;0.2492155924937378;0.23126415741764195;-0.3210298253692559
38.465;0.7393625151053995;0.6440273275427648;2.690697050647138;0.24921684775330555;0.23126543968304006;-0.3210313883718885
38.498;0.7397400679830856;0.6442715094041049;2.690806992515258;0.24922186868828536;0.23127056877909075;-0.32103764043514854
38.503;0.7412974736200323;0.6452787596005146;2.69126050273083;0.24924258017831177;0.2312917265491461;-0.3210634296847922
38.524;0.7412502795094779;0.645248236866888;2.691246759996751;0.24924195255759404;0.2312910853981197;-0.32106264820197655
38.525;0.7419815328363311;0.6456977495447487;2.6914606644359362;0.24924887638429197;0.23130134369579025;-0.3210717910393325
38.526;0.7420271367841998;0.6457256822078342;2.6914740085496827;0.24924929613287258;0.23130198484006148;-0.3210723484586803
38.549;0.742072740732081;0.6457536148709355;2.6914873526634406;0.24924971588149306;0.23130262598450463;-0.3210729058776038
38.551;0.7429392157427759;0.6462843354716836;2.6917408908285196;0.24925769100289472;0.2313148077794687;-0.3210834968307804
38.568;0.7429848196908172;0.6463122681350258;2.6917542349425987;0.24925811074543955;0.23131544892846653;-0.3210840542458577
38.569;0.7436232749638293;0.6467033254227498;2.6919410525418423;0.24926398707721528;0.23132442504355302;-0.3210918580583314
38.57;0.7436688789119601;0.6467312580862478;2.6919543966561963;0.2492644068127982;0.2313250661963586;-0.3210924154721488
38.598;0.7437144828601032;0.6467591907497613;2.691967740770562;0.24926482654842094;0.2313257073493359;-0.3210929728855417
38.607;0.7449913934131379;0.647541305334484;2.692341375977338;0.24927657916202686;0.23134365970243662;-0.32110858028824696
38.61;0.7439881065491522;0.6469267867311136;2.6920478054570656;0.24926734495749606;0.23132955427170263;-0.32109631736070104
38.612;0.7441249183936688;0.6470105847218577;2.692087837800663;0.24926860414882704;0.23133147773744347;-0.3210979896018347
38.632;0.7442161262900752;0.6470664500490986;2.692114526029784;0.24926944360991352;0.2313327600487962;-0.32109910442713535
38.633;0.7451282052568621;0.647625103324944;2.692381408323461;0.2492778382295401;0.2313455832001097;-0.32111025258677944
38.656;0.7451738092053315;0.6476530359889003;2.6923947524382625;0.2492782579609396;0.23134622435947882;-0.32111080999030567
38.665;0.744991393411266;0.6475413053329544;2.6923413759794146;0.2492765790149641;0.2313436597263911;-0.32110858038757933
38.666;0.7455386407921936;0.6478764973000196;2.6925015053585635;0.24928161570842663;0.23135135365774123;-0.32111526927425615
38.673;0.7455842447406956;0.6479044299640523;2.6925148494735534;0.2492820354339997;0.2313519948196635;-0.3211158266781406
38.687;0.74562984868921;0.6479323626281004;2.6925281935885543;0.24928245515961264;0.23135263598175754;-0.32111638408160065
38.7;0.7459490763291576;0.6481278912768753;2.6926216023938756;0.24928539324001892;0.2313571241212248;-0.321120285893939
38.705;0.7460858881750352;0.6482116892694417;2.692661634739182;0.2492866524179335;0.2313590476121442;-0.3211219580928614
38.733;0.746131492123559;0.6482396219335581;2.6926749788544466;0.24928707213401993;0.2313596887777506;-0.32112251549838383
38.735;0.7469979671474432;0.6487703425543951;2.69292851704708;0.2492950467142459;0.2313718709622772;-0.321133106144962
38.753;0.7470435710961622;0.6487982752187811;2.6929418611626277;0.24929546642700587;0.23137251213199017;-0.32113366354478223
38.755;0.7477732342767974;0.6492451978506308;2.6931553670135253;0.2493021817932879;0.23138277087780584;-0.3211425819134363
38.783;0.7478188382256481;0.649273130515218;2.693168711129351;0.2493026015005401;0.2313834120514459;-0.32114313931022015
38.785;0.7482748777148357;0.6495524571619493;2.693302152288223;0.2493067985752536;0.23138982379729062;-0.3211487132547179
38.786;0.7485941053578026;0.6497479858154263;2.693395561100324;0.24930973651411764;0.23139431203217448;-0.3211526150012932
38.788;0.7486397093067755;0.6497759184802124;2.693408905216463;0.24931015621418387;0.23139495321019296;-0.3211531723957765
38.813;0.7486853132557608;0.6498038511450143;2.693422249332613;0.24931057591429004;0.23139559438838322;-0.3211537297898355
38.818;0.7491869566954166;0.6501111104588653;2.6935690346110057;0.24931519261808746;0.2314026473598095;-0.3211598610964774
38.82;0.7496429961872078;0.6503904371093752;2.693702475774474;0.24931938961747738;0.23140905917138924;-0.3211654349726202
38.853;0.7496886001363605;0.6504183697744349;2.6937158198909876;0.24931980931021325;0.2314097003547008;-0.32116599236291354
